★更新日期★,#genre#
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.213:4220$A_9_[★]
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.214:4220$A_10_[★]
CCTV-5 体育,http://74.91.26.218:82/live/cctv5hd.m3u8$A_1_[★]
CCTV-5 体育,http://t.061899.xyz/tl/tl.php?id=cctv5$A_2_[★]
CCTV-5 体育,http://go.bkpcp.top/mg/cctv5$A_3_[★]
CCTV-5 体育,http://j.s.bkpcp.top/jj/cctv5$A_4_[★]
CCTV-5 体育,http://rihou.cc:555/tv/[mg]CCTV-05$A_5_[★]
CCTV-5 体育,http://drive.mxmy.net:8888/udp/239.3.1.173:8001$A_6_[★]
CCTV-5+ 体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8$A_1_[★]
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8$A_2_[★]
CCTV-5+ 体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p$A_3_[★]
CCTV-5+ 体育赛事,http://go.bkpcp.top/mg/cctv5p$A_4_[★]
CCTV-5+ 体育赛事,http://j.s.bkpcp.top/jj/cctv5p$A_5_[★]
CCTV-5+ 体育赛事,http://drive.mxmy.net:8888/udp/239.3.1.130:8004$A_6_[★]
CCTV-6 电影,http://74.91.26.218:82/live/cctv6hd.m3u8$A_1_[★]
CCTV-6 电影,http://t.061899.xyz/tl/tl.php?id=cctv6$A_2_[★]
CCTV-6 电影,http://go.bkpcp.top/mg/cctv6$A_3_[★]
CCTV-6 电影,http://j.s.bkpcp.top/jj/cctv6$A_4_[★]
CCTV-6 电影,http://rihou.cc:555/tv/[mg]CCTV-06$A_5_[★]
CCTV-6 电影,http://drive.mxmy.net:8888/udp/239.3.1.174:8001$A_6_[★]
CCTV-7 国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8$A_1_[★]
CCTV-7 国防军事,http://t.061899.xyz/tl/tl.php?id=cctv7$A_2_[★]
CCTV-7 国防军事,http://go.bkpcp.top/mg/cctv7$A_3_[★]
CCTV-7 国防军事,http://j.s.bkpcp.top/jj/cctv7$A_4_[★]
CCTV-7 国防军事,http://drive.mxmy.net:8888/udp/239.3.1.61:8104$A_5_[★]
CCTV-8 电视剧,http://t.061899.xyz/tl/tl.php?id=cctv8$A_1_[★]
CCTV-8 电视剧,http://go.bkpcp.top/mg/cctv8$A_2_[★]
CCTV-8 电视剧,http://rihou.cc:555/tv/[mg]CCTV-08$A_3_[★]
CCTV-8 电视剧,http://j.s.bkpcp.top/jj/cctv8$A_4_[★]
CCTV-8 电视剧,http://drive.mxmy.net:8888/udp/239.3.1.175:8001$A_5_[★]
CCTV-9 纪录,http://74.91.26.218:82/live/cctv9hd.m3u8$A_1_[★]
CCTV-9 纪录,http://t.061899.xyz/tl/tl.php?id=cctv9$A_2_[★]
CCTV-9 纪录,http://go.bkpcp.top/mg/cctv9$A_3_[★]
CCTV-9 纪录,http://j.s.bkpcp.top/jj/cctv9$A_4_[★]
CCTV-9 纪录,http://drive.mxmy.net:8888/udp/239.3.1.62:8112$A_5_[★]
CCTV-9 纪录,http://rihou.cc:555/tv/[mg]CCTV-09$A_6_[★]
CCTV-10 科教,http://74.91.26.218:82/live/cctv10hd.m3u8$A_1_[★]
CCTV-10 科教,http://t.061899.xyz/tl/tl.php?id=cctv10$A_2_[★]
CCTV-10 科教,http://go.bkpcp.top/mg/cctv10$A_3_[★]
CCTV-10 科教,http://j.s.bkpcp.top/jj/cctv10$A_4_[★]
CCTV-10 科教,http://rihou.cc:555/tv/[mg]CCTV-10$A_5_[★]
CCTV-10 科教,http://drive.mxmy.net:8888/udp/239.3.1.63:8116$A_6_[★]
CCTV-11 戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8$A_1_[★]
CCTV-11 戏曲,http://t.061899.xyz/tl/tl.php?id=cctv11$A_2_[★]
CCTV-11 戏曲,http://go.bkpcp.top/mg/cctv11$A_3_[★]
CCTV-11 戏曲,http://j.s.bkpcp.top/jj/cctv11$A_4_[★]
CCTV-11 戏曲,http://drive.mxmy.net:8888/udp/239.3.1.152:8120$A_5_[★]
CCTV-11 戏曲,http://rihou.cc:555/tv/[mg]CCTV-11$A_6_[★]
CCTV-12 社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8$A_1_[★]
CCTV-12 社会与法,http://t.061899.xyz/tl/tl.php?id=cctv12$A_2_[★]
CCTV-12 社会与法,http://go.bkpcp.top/mg/cctv12$A_3_[★]
CCTV-12 社会与法,http://j.s.bkpcp.top/jj/cctv12$A_4_[★]
CCTV-12 社会与法,http://rihou.cc:555/tv/[mg]CCTV-12$A_5_[★]
CCTV-12 社会与法,http://drive.mxmy.net:8888/udp/239.3.1.64:8124$A_6_[★]
CCTV-13 新闻,http://74.91.26.218:82/live/cctv13hd.m3u8$A_1_[★]
CCTV-13 新闻,http://t.061899.xyz/tl/tl.php?id=cctv13$A_2_[★]
CCTV-13 新闻,http://go.bkpcp.top/mg/cctv13$A_3_[★]
CCTV-13 新闻,http://j.s.bkpcp.top/jj/cctv13$A_4_[★]
CCTV-13 新闻,http://drive.mxmy.net:8888/udp/239.3.1.124:8128$A_5_[★]
CCTV-13 新闻,http://rihou.cc:555/tv/[mg]CCTV-13$A_6_[★]
CCTV-14 少儿,http://74.91.26.218:82/live/cctv14hd.m3u8$A_1_[★]
CCTV-14 少儿,http://t.061899.xyz/tl/tl.php?id=cctv14$A_2_[★]
CCTV-14 少儿,http://go.bkpcp.top/mg/cctv14$A_3_[★]
CCTV-14 少儿,http://j.s.bkpcp.top/jj/cctv14$A_4_[★]
CCTV-14 少儿,http://rihou.cc:555/tv/[mg]CCTV-14$A_5_[★]
CCTV-14 少儿,http://drive.mxmy.net:8888/udp/239.3.1.65:8132$A_6_[★]
CCTV-15 音乐,http://74.91.26.218:82/live/cctv15hd.m3u8$A_1_[★]
CCTV-15 音乐,http://t.061899.xyz/tl/tl.php?id=cctv15$A_2_[★]
CCTV-15 音乐,http://go.bkpcp.top/mg/cctv15$A_3_[★]
CCTV-15 音乐,http://j.s.bkpcp.top/jj/cctv15$A_4_[★]
CCTV-15 音乐,http://rihou.cc:555/tv/[mg]CCTV-15$A_5_[★]
CCTV-15 音乐,http://drive.mxmy.net:8888/udp/239.3.1.153:8136$A_6_[★]
CCTV-16 奥林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8$A_1_[★]
CCTV-16 奥林匹克,http://t.061899.xyz/tl/tl.php?id=cctv16$A_2_[★]
CCTV-16 奥林匹克,http://go.bkpcp.top/mg/cctv16$A_3_[★]
CCTV-16 奥林匹克,http://j.s.bkpcp.top/jj/cctv16$A_4_[★]
CCTV-16 奥林匹克,http://drive.mxmy.net:8888/udp/239.3.1.184:8001$A_5_[★]
CCTV-17 农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8$A_1_[★]
CCTV-17 农业农村,http://t.061899.xyz/tl/tl.php?id=cctv17$A_2_[★]
CCTV-17 农业农村,http://rihou.cc:555/tv/[mg]CCTV-17$A_3_[★]
CCTV-17 农业农村,http://go.bkpcp.top/mg/cctv17$A_4_[★]
CCTV-17 农业农村,http://j.s.bkpcp.top/jj/cctv17$A_5_[★]
CCTV-17 农业农村,http://drive.mxmy.net:8888/udp/239.3.1.151:8144$A_6_[★]
CGTN-纪录,https://0472.org/hls/cgtnd.m3u8$A_1_[★]
★卫视频道★,#genre#
张家口-1,https://nlive.zjkgdcs.com:8572/live/xwzhpd.m3u8$A_1_[★]
张家口-1,http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8$A_2_[★]
张家口-2,https://nlive.zjkgdcs.com:8572/live/zjktv2.m3u8$A_1_[★]
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视$A_1_[★]
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws$A_2_[★]
北京卫视,http://go.bkpcp.top/mg/bjws$A_3_[★]
北京卫视,http://j.s.bkpcp.top/jj/bjws$A_4_[★]
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws$A_1_[★]
东方卫视,http://go.bkpcp.top/mg/dfws$A_2_[★]
东方卫视,http://j.s.bkpcp.top/jj/dfws$A_3_[★]
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视$A_4_[★]
东方卫视,http://drive.mxmy.net:8888/udp/239.3.1.136:8032$A_5_[★]
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws$A_1_[★]
天津卫视,http://drive.mxmy.net:8888/udp/239.3.1.141:1234$A_2_[★]
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8$A_1_[★]
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws$A_2_[★]
重庆卫视,http://drive.mxmy.net:8888/udp/239.3.1.122:8160$A_3_[★]
黑龙江卫视,http://drive.mxmy.net:8888/udp/239.3.1.133:8016$A_1_[★]
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws$A_1_[★]
吉林卫视,http://drive.mxmy.net:8888/udp/239.3.1.240:8172$A_2_[★]
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws$A_1_[★]
辽宁卫视,http://drive.mxmy.net:8888/udp/239.3.1.210:8056$A_2_[★]
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws$A_1_[★]
河北卫视,http://drive.mxmy.net:8888/udp/239.3.1.148:8072$A_2_[★]
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws$A_1_[★]
河南卫视,http://go.bkpcp.top/mg/hnws$A_2_[★]
河南卫视,http://j.s.bkpcp.top/jj/hnws$A_3_[★]
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视$A_4_[★]
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8$A_1_[★]
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视$A_2_[★]
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws$A_3_[★]
湖北卫视,http://go.bkpcp.top/mg/hubws$A_4_[★]
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564$A_5_[★]
湖北卫视,http://j.s.bkpcp.top/jj/hubws$A_6_[★]
湖北卫视,http://drive.mxmy.net:8888/udp/239.3.1.138:8044$A_7_[★]
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8$A_1_[★]
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws$A_2_[★]
湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8$A_3_[★]
湖南卫视,http://go.bkpcp.top/mg/hunws$A_4_[★]
湖南卫视,http://j.s.bkpcp.top/jj/hunws$A_5_[★]
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8$A_6_[★]
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8$A_7_[★]
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视$A_8_[★]
湖南卫视,http://drive.mxmy.net:8888/udp/239.3.1.132:8012$A_9_[★]
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws$A_1_[★]
山东卫视,http://go.bkpcp.top/mg/sdws$A_2_[★]
山东卫视,http://j.s.bkpcp.top/jj/sdws$A_3_[★]
山东卫视,http://drive.mxmy.net:8888/udp/239.3.1.209:8052$A_4_[★]
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws$A_1_[★]
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws$A_1_[★]
江苏卫视,http://go.bkpcp.top/mg/jsws$A_2_[★]
江苏卫视,http://j.s.bkpcp.top/jj/jsws$A_3_[★]
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视$A_4_[★]
江苏卫视,http://drive.mxmy.net:8888/udp/239.3.1.135:8028$A_5_[★]
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws$A_1_[★]
江西卫视,http://go.bkpcp.top/mg/jxws$A_2_[★]
江西卫视,http://j.s.bkpcp.top/jj/jxws$A_3_[★]
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视$A_4_[★]
江西卫视,http://drive.mxmy.net:8888/udp/239.3.1.123:8164$A_5_[★]
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws$A_1_[★]
广东卫视,http://go.bkpcp.top/mg/gdws$A_2_[★]
广东卫视,http://j.s.bkpcp.top/jj/gdws$A_3_[★]
广东卫视,http://drive.mxmy.net:8888/udp/239.3.1.142:8048$A_4_[★]
广西卫视,http://107.150.60.122/live/gxwshd.m3u8$A_1_[★]
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws$A_2_[★]
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws$A_1_[★]
安徽卫视,http://drive.mxmy.net:8888/udp/239.3.1.211:8064$A_2_[★]
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视$A_1_[★]
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8$A_2_[★]
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8$A_3_[★]
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$A_4_[★]
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$A_5_[★]
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$A_6_[★]
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?$A_7_[★]
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$A_8_[★]
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$A_9_[★]
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws$A_10_[★]
浙江卫视,http://go.bkpcp.top/mg/zjws$A_11_[★]
浙江卫视,http://j.s.bkpcp.top/jj/zjws$A_12_[★]
浙江卫视,http://drive.mxmy.net:8888/udp/239.3.1.137:8036$A_13_[★]
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$A_1_[★]
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws$A_2_[★]
东南卫视,http://drive.mxmy.net:8888/udp/239.3.1.156:8148$A_3_[★]
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视$A_1_[★]
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws$A_2_[★]
海南卫视,http://go.bkpcp.top/mg/hinws$A_3_[★]
海南卫视,http://j.s.bkpcp.top/jj/hinws$A_4_[★]
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws$A_1_[★]
贵州卫视,http://drive.mxmy.net:8888/udp/239.3.1.149:8076$A_2_[★]
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws$A_1_[★]
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws$A_1_[★]
陕西卫视,http://107.150.60.122/live/snwshd.m3u8$A_1_[★]
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws$A_2_[★]
陕西卫视,http://go.bkpcp.top/mg/sxws$A_3_[★]
陕西卫视,http://j.s.bkpcp.top/jj/sxws$A_4_[★]
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws$A_1_[★]
宁夏卫视,http://107.150.60.122/live/nxws.m3u8$A_1_[★]
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws$A_2_[★]
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8$A_1_[★]
新疆卫视,http://107.150.60.122/live/xjws.m3u8$A_1_[★]
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws$A_2_[★]
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd$A_3_[★]
西藏卫视,http://107.150.60.122/live/xzws.m3u8$A_1_[★]
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws$A_2_[★]
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8$A_1_[★]
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视$A_2_[★]
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws$A_3_[★]
深圳卫视,http://go.bkpcp.top/mg/szws$A_4_[★]
深圳卫视,http://j.s.bkpcp.top/jj/szws$A_5_[★]
深圳卫视,http://drive.mxmy.net:8888/udp/239.3.1.134:8020$A_6_[★]
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8$A_1_[★]
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8$A_2_[★]
兵团卫视,http://go.bkpcp.top/mg/btws$A_1_[★]
兵团卫视,http://j.s.bkpcp.top/jj/btws$A_2_[★]
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8$A_1_[★]
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8$A_2_[★]
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$A_3_[★]
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8#$A_4_[★]
★精品频道★,#genre#
★NewTV频道★,#genre#
动作电影,http://107.150.60.122/live/chcdz.m3u8$A_1_[★]
动作电影,http://198.204.228.26/live/chcdz.m3u8$A_2_[★]
动作电影,https://stream.freetv.fun/2f2e29b8759a2458730dc1f3686024472691952a50e787fe075944d0cb17f36e.ctv$A_3_[★]
★少儿频道★,#genre#
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8$A_1_[★]
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$A_2_[★]
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$A_3_[★]
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?$A_4_[★]
★影视频道★,#genre#
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8$A_1_[★]
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8$A_2_[★]
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8$A_3_[★]
浙江影视,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8?$A_1_[★]
★地方频道★,#genre#
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8$A_1_[★]
福州生活,http://live.zohi.tv:80/video/s10001-fztv-3/index.m3u8$A_1_[★]
金川乡村,http://live.jinchuanrmt.com:90/live/jcxc.m3u8?zsicd$A_1_[★]
★河北频道★,#genre#
★浙江频道★,#genre#
浙江国际,http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8$A_1_[★]
浙江国际,http://ali-xwl.cztv.com/live/channel10720Plxw.m3u8$A_2_[★]
浙江国际,http://ali-vl.cztv.com/channels/lantian/channel010/360p.m3u8$A_3_[★]
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$A_4_[★]
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?$A_5_[★]
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$A_6_[★]
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8$A_7_[★]
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$A_1_[★]
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$A_2_[★]
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$A_1_[★]
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?$A_2_[★]
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8$A_3_[★]
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8$A_4_[★]
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$A_1_[★]
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$A_2_[★]
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?$A_3_[★]
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8$A_4_[★]
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8$A_5_[★]
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8\r\n$A_1_[★]
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$A_2_[★]
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/720p.m3u8$A_3_[★]
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$A_4_[★]
浙江钱江,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8$A_5_[★]
浙江新闻,http://ali-xwl.cztv.com/live/channel071080Plxw.m3u8$A_1_[★]
浙江新闻,http://ali-xwl.cztv.com/live/channel07720Plxw.m3u8$A_2_[★]
浙江新闻,http://ali-vl.cztv.com/channels/lantian/channel007/360p.m3u8$A_3_[★]
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$A_4_[★]
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8$A_5_[★]
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/720p.m3u8$A_6_[★]
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8$A_7_[★]
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/720p.m3u8$A_8_[★]
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$A_9_[★]
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?$A_10_[★]
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel07/720p.m3u8$A_11_[★]
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8$A_12_[★]
之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$A_1_[★]
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8$A_2_[★]
★广东频道★,#genre#
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$A_1_[★]
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$A_1_[★]
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488$A_2_[★]
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701$A_3_[★]
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$A_4_[★]
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8$A_5_[★]
广州影视,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4$A_1_[★]
广州南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4$A_1_[★]
★陕西频道★,#genre#
陕西新闻资讯,http://gxlive.snrtv.com/sx1-SD.m3u8$A_1_[★]
陕西都市青春,http://gxlive.snrtv.com/sx2-SD.m3u8$A_1_[★]
陕西银铃,http://gxlive.snrtv.com/sx3-SD.m3u8$A_1_[★]
陕西秦腔,http://gxlive.snrtv.com/sx5-SD.m3u8$A_1_[★]
陕西体育休闲,http://gxlive.snrtv.com/sx7-SD.m3u8$A_1_[★]
陕西西部电影,http://gxlive.snrtv.com/sx8-SD.m3u8$A_1_[★]
★内蒙频道★,#genre#
★综艺轮播★,#genre#
★春晚联欢★,#genre#
★影视轮播★,#genre#
